created_at,text,source,geo
2016-12-21T00:20:06.000Z,[ @Lakers vs Hornets .... @Pacers vs @NYKnicks ... @utahjazz vs @warriors ] -#goarsome23,Mobile Web (M5),
2016-12-21T00:20:07.000Z,"RT @Lakers: D3ng hits with a defender in his grill!

Lakers lead 14-10 early in the first.",Twitter for Android,
2016-12-21T00:20:07.000Z,RT @Lakers: #LakeShow https://t.co/MTfhGXpbTq,Echofon,
2016-12-21T00:20:07.000Z,Helloo. . :) Lakers 7-5 (RiceTheGod__) https://t.co/s68EZ8S0rD,IFTTT,
2016-12-21T00:20:08.000Z,"RT @MarkG_Medina: Lakers announce Shaq's statue unveiling will be on Friday, March 24, 2017 at Star Plaza outside of Staples Center.… ",Twitter for iPhone,
2016-12-21T00:20:08.000Z,Lakers starting to look back to normal,Twitter for Android,
2016-12-21T00:20:09.000Z,RT @BaxterHolmes: Lakers announce that a statue of Shaq will be unveiled at Star Plaza outside Staples Center prior to the Lakers gam… ,Twitter for iPhone,
2016-12-21T00:20:09.000Z,"RT @LakersReporter: The Lakers have it going offensively to start, using the 2nd @NickSwagyPYoung 3 to take a 19-12 lead. @Dloading has 4 a…",Twitter for iPhone,
2016-12-21T00:20:09.000Z,"RT @SerenaWinters: Lakers officially announce @Shaq's statute to be unveiled on March 24th, 2017. https://t.co/Eu6rP0yx03",Twitter for Android,
2016-12-21T00:20:10.000Z,"RT @SerenaWinters: Lakers officially announce @Shaq's statute to be unveiled on March 24th, 2017. https://t.co/Eu6rP0yx03",Twitter for iPhone,
2016-12-21T00:20:10.000Z,@RockmanHalo the purple jerseys were nice too. I love the Lakers connection. https://t.co/P42iP4QNSr,Twitter for iPhone,
2016-12-21T00:20:10.000Z,#Swaggy3 https://t.co/fhM034aQgh,Twitter for iPhone,
2016-12-21T00:20:11.000Z,RT @LosLakers: Gran penetración de @Dloading para la primera canasta de los Lakers.,Mobile Web (M5),
2016-12-21T00:20:11.000Z,"Not a Lakers fan, but this is a sweet statue. https://t.co/dSnnhOTM3A",Twitter for Android,
2016-12-21T00:20:12.000Z,RT @BaxterHolmes: Lakers announce that a statue of Shaq will be unveiled at Star Plaza outside Staples Center prior to the Lakers gam… ,Twitter for iPhone,
2016-12-21T00:20:12.000Z,"RT @LakersReporter: The Lakers have it going offensively to start, using the 2nd @NickSwagyPYoung 3 to take a 19-12 lead. @Dloading has 4 a…",Twitter for iPhone,
2016-12-21T00:20:12.000Z,RT @LakersReporter: Wow … here’s who showed up for @B_Ingram13 for his first professional game in his home state. https://t.co/arjOvs1qaW,Twitter for Android,
2016-12-21T00:20:12.000Z,"RT @LakersReporter: The Lakers have it going offensively to start, using the 2nd @NickSwagyPYoung 3 to take a 19-12 lead. @Dloading has 4 a…",Twitter Web Client,
2016-12-21T00:20:13.000Z,RT @Lakers: A ✋in the face doesn't bother Julius #LakeShow https://t.co/Yoormak4PN,Twitter for iPhone,
2016-12-21T00:20:13.000Z,"RT @SerenaWinters: Lakers officially announce @Shaq's statute to be unveiled on March 24th, 2017. https://t.co/Eu6rP0yx03",Twitter for iPhone,
2016-12-21T00:20:13.000Z,RT @Lakers: Goin' to work #LakeShow https://t.co/EwFXaiYutX,Twitter for iPhone,
2016-12-21T00:20:14.000Z,"RT @LakersNation: Your starters for tonight:

Lakers - D-Lo, Nick, Deng, Randle, Mozzy

Hornets - Kemba, Batum, MKG, Marvin, Zeller",Twitter for iPhone,
2016-12-21T00:20:16.000Z,RT @Lakers: #Swaggy3 https://t.co/fhM034aQgh,Twitter for iPhone,
2016-12-21T00:20:17.000Z,RT @Lakers: #Swaggy3 https://t.co/fhM034aQgh,Twitter for iPhone,
2016-12-21T00:20:18.000Z,RT @Lakers: #Swaggy3 https://t.co/fhM034aQgh,Twitter for iPhone,
2016-12-21T00:20:19.000Z,Lakers News: Team Announces Date For Shaquille O’Neal Statue Unveiling https://t.co/ivkneLj4JN https://t.co/tYxIfowlkz #lakers,IFTTT,
2016-12-21T00:20:19.000Z,RT @Lakers: #Swaggy3 https://t.co/fhM034aQgh,Twitter for iPhone,
2016-12-21T00:20:19.000Z,RT @Lakers: A ✋in the face doesn't bother Julius #LakeShow https://t.co/Yoormak4PN,Twitter Web Client,
2016-12-21T00:20:19.000Z,#SpeedeNews Lakers reveal details on Shaq's massive statue -- and when it will be unveiled https://t.co/HOMR87FXl3,Hootsuite,
2016-12-21T00:20:20.000Z,I really like how @NickSwagyPYoung play basketball this season. Go @Lakers,Twitter for iPhone,
2016-12-21T00:20:20.000Z,Let's Goooo @Lakers #Lakeshow,Twitter for iPhone,
2016-12-21T00:20:21.000Z,RT @Lakers: #Swaggy3 https://t.co/fhM034aQgh,Twitter for iPhone,
2016-12-21T00:20:21.000Z,RT @Lakers: #Swaggy3 https://t.co/fhM034aQgh,Twitter for iPhone,
